what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1384826567270
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1384826567270
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1384826567271
os,sysinfo,,,"win32",1384826567274
arch,sysinfo,,,"x86",1384826567274
ws,sysinfo,,,"win32",1384826567274
locale,sysinfo,,,"zh_CN",1384826567274
processors,sysinfo,,,"4",1384826567275
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384826567275
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1384826567275
java.specification.name,sysinfo,,,"Java Platform API Specification",1384826567275
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384826567275
java.specification.version,sysinfo,,,"1.6",1384826567275
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384826567275
java.version,sysinfo,,,"1.6.0_10-rc2",1384826567275
java.vm.info,sysinfo,,,"mixed mode",1384826567275
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384826567275
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384826567275
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384826567275
java.vm.specification.version,sysinfo,,,"1.0",1384826567275
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1384826567275
java.vm.version,sysinfo,,,"11.0-b15",1384826567275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826586699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826587760
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.navigate.open.type",1384826587771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826592905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826594315
executed,command,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1384826594325
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1384826601993
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1384826602286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826602331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826602379
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1384826625463
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1384826625501
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1384826625554
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1384826629664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826635553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826637591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826641995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826682927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826691021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826691331
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1384826692827
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1384826692829
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1384826697460
error,log,,,"DDMS files not found: E:\\temp\\eclipse\\platform-tools\\adb.exe E:\\temp\\eclipse\\tools\\hprof-conv.exe E:\\temp\\eclipse\\tools\\traceview.bat ",1384826697489
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1384826697494
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1384826697647
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1384826697718
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.ThreadView",1384826697804
activated,perspective,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.Perspective",1384826697847
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1384826697855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1384826697898
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1384826697898
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384826697974
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384826697999
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1384826698178
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1384826698225
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1384826698237
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1384826698245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826702433
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.ThreadView",1384826754181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826754191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826756930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826788800
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1384826788882
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1384826788892
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1384826788894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826796947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826803348
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384826803361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826808350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826816325
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1384826817308
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1384826819314
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1384826824433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826825218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384826834117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384826834936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384826836573
