what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386032830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386036857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386050194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386057131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386057696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386062874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386386065518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387376270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387395887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387397695
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386387430721
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386387434738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387470833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387485048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387486174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387486716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387488466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387509880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387511822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387514800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387515596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387532538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387544821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387545596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387546110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387633877
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1386387633890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387634641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387637822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387641505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387666475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387668144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387696625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387728593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387729054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387735360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387737748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387738188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387744859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386387745021
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386395117606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386399442444
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386399444887
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386399447139
