what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1385518244174
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1385518244175
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1385518244176
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1385518244177
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1385518244178
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1385518244179
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1385518244180
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1385518244180
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1385518244181
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1385518244181
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1385518244182
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1385518244183
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1385518244183
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1385518244183
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1385518244183
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1385518244184
os,sysinfo,,,"win32",1385518244187
arch,sysinfo,,,"x86",1385518244187
ws,sysinfo,,,"win32",1385518244187
locale,sysinfo,,,"zh_CN",1385518244187
processors,sysinfo,,,"4",1385518244187
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1385518244187
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1385518244187
java.specification.name,sysinfo,,,"Java Platform API Specification",1385518244187
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385518244187
java.specification.version,sysinfo,,,"1.6",1385518244187
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1385518244187
java.version,sysinfo,,,"1.6.0_10-rc2",1385518244187
java.vm.info,sysinfo,,,"mixed mode",1385518244187
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1385518244187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385518244187
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385518244187
java.vm.specification.version,sysinfo,,,"1.0",1385518244187
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1385518244187
java.vm.version,sysinfo,,,"11.0-b15",1385518244187
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1385518248596
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385518251178
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385518262141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385518273679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519295915
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385519296592
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385519298172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519300116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519300220
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385519328721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519330758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519330873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519340880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519624387
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385519625550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519629042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385519630305
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385519630308
