what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1386059609289
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1386059609289
java.version,sysinfo,,,"1.6.0_10-rc2",1386059609289
java.vm.info,sysinfo,,,"mixed mode",1386059609289
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386059609289
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386059609289
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386059609289
java.vm.specification.version,sysinfo,,,"1.0",1386059609289
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1386059609289
java.vm.version,sysinfo,,,"11.0-b15",1386059609289
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1386059610732
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1386059610870
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386059610881
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386059611054
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1386059611202
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1386059611204
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1386059611225
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1386059611232
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1386059611256
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1386059611260
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1386059611277
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1386059611327
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386059611389
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386059615376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059622567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059625177
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386059625182
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.ThreadView",1386059626180
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.ThreadView",1386059626193
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386059626476
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.ThreadView",1386059627101
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386059627902
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1386059633595
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1386059633808
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1386059634005
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386059634578
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386059634848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059641099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059643247
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386059643250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059644284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059645360
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386059645456
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1386059645877
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1386059645882
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1386059645973
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1386059645974
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1386059645975
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1386059645976
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1386059645977
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1386059645978
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1386059645979
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1386059645979
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1386059645979
