what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386732775438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733006892
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386733007944
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386733009174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733015949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733319584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733329012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733331420
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386733331434
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386733332974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733334938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733335050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733336794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733337587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733338275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733379857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733381276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733381368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733381936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386733382781
