what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063763387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063764419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063817271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063834114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063835588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063836494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063836773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063843169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063856901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063857033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063861967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063864540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1386063864550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063888274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063903321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1386063903333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063920803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063920920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063925575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063925660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063953767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063984989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063994715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063994820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063996415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386063997057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064001633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064103667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064132385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064132500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064138101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064142937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064673881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386064711452
