what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040785392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040789768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040791743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040796828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040814750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040822558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040891087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040916778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040936782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040956075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040991648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041024391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041026134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041026254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386041029327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041030406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041030607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041030761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041030913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041031067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041032535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041067102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041119773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041119882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041142014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041173657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041246698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041246798
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386041253851
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386041254763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041355827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041388388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386041390867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041391919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041392113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041393510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041413383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042359654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042368211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042382666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042385086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042391742
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386042398747
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386042401372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042435710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042436854
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386042436859
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386042437639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042444848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042444941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042448862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042449427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042467290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042470436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042472318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042474048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042478257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042526618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042591659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042594782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042604115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042713268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386042714343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042714696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042714863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042715055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042715221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042715381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386042715559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386042718818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051517701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051573147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051670483
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386051674197
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386051690035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051693562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051820378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386051823173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051823593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051823761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051823939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386051824914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051825932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051826057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051827921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051836053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051845004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386051860836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052111711
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1386052113660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052125147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052543127
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1386052550205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052602249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052611490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052611616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052612059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052612298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052928766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386052929859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386052929948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052930561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052930725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052931012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1386052933397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052933906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052934123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052934312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052934486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386052934661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052936157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052946818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052948088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052953993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052971186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386052990463
