what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103357799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103357982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103358172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103358379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103358963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103359936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103360102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385103360272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385103362885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104327308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104329699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104329781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385104347280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385104347464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385104347844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385104347977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385104348131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385104348280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385104348399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104349079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104354748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104359005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104651356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104677528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104754327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104773629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104784911
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385104787097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104791636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104800137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104800916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104815577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104815816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385104816541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385105106829
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385105107447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385105114344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385105155003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385105155635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385107654891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385107656416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385107712147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385107735613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108073463
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385108078834
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385108079559
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385108124983
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385108126951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108226381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108229917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108229941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108231266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385108231975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112899635
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385112904157
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385112904961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112913061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112915870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112917867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112937371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112944542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385112984224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113001457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113294475
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1385113294496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113445285
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385113446477
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385113452644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113463420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113463840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113478485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113479362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113481808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113484929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113490999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113494598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113524400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113552178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113554650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113583734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113584532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113613070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113626756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113629118
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385113651735
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385113654623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113661772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113667129
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385113668309
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385113669259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113690696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113975212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385113985024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114022532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114028255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114030853
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385114031668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114031978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114032161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114032293
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114032438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114034127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1385114034329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114036180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114042315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114795799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114809570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114835816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385114849972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385115530811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385115532560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385115532748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385115534731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117646985
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385117647858
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385117649064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117650410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117659059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117662029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117691335
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385117691347
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1385117697592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385117859736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1385117859929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117863843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117864646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385117864868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385118029146
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.DeviceView",1385118056862
